#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_12	5436810	75	N	N	1	*	178,177,177,178,177,177,177,178,177,177,177,178,177,177,177,177,178,177,177,177,178,177,177,178,186,-246,247,-246,247,-246,12
contig_17	4287199	69	N	N	1	*	265,268,269,-267,265,268,269,-267,266,269,-267,266,269,270,-267,266,269,-267,266,269,-267,265,17,313,-249,250,314,-249,250,313,-249,250,314,-249,250,314,-249,250,314,-249,250,314,-249,250,314,-249
contig_26	1298616	77	N	N	1	*	177,178,177,177,178,177,178,177,178,177,175,176,184,26
contig_29	1050158	53	N	N	1	*	-37,-33,-16,-13,29,319,-320,319,-320
contig_191	567451	48	N	N	1	*	-322,191
contig_53	436068	29	N	N	1	*	577,578,577,578,577,578,577,578,577,578,577,578,-577,-578,-577,-578,-577,53,*
contig_199	365195	21	N	N	1	*	-608,175,176,184,196,199,*
contig_5	345514	87	N	N	1	*	-598,-598,-598,-11,-10,-8,-7,-7,-10,-8,-8,-7,-7,-10,-8,-8,-7,-7,-10,-8,-8,-7,-9,-7,-10,-8,-8,-7,-7,-10,-6,-4,5,*
contig_78	332111	20	N	N	1	*	*,78,338,339,343
contig_400	330400	21	N	N	1	*	-393,-391,-141,109,-396,-396,623,-398,-396,-396,623,-398,400
contig_316	318328	20	N	N	1	*	-315,316,482,482,482,*
contig_65	289142	21	N	N	1	*	-194,183,175,176,184,196,65,-242,-241,-240,-243,-242,-241,-240
contig_216	281831	31	Y	N	1	*	216
contig_67	260102	26	N	N	1	*	-42,-600,67,*
contig_62	251943	18	N	N	1	*	-42,-600,62,-98,154,-540
contig_162	234849	20	N	N	1	*	162,-569,-642,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-566,-567,-643,644,-570,-569,-642
contig_34	225081	83	N	N	2	*	-37,-33,34,182,182,180,182,181,181,181,181,187
contig_353	203525	28	N	N	1	*	-343,-339,-338,-343,353,*
contig_68	201854	24	N	N	1	*	627,444,445,447,68,-242,-241,-240,-243,-242,-241,-240,-243,-242,-241,-240
contig_24	201810	21	N	N	1	*	-27,14,14,15,19,-474,-74,-36,-33,-16,-13,24,-340,350,-617,-347,-340,-340,350,-617,-347,-340,-340,350,-617
contig_327	200660	26	N	N	1	*	323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,328,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,328,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,327,*
contig_215	197733	20	N	N	2	*	320,215,-432
contig_390	184066	20	N	N	1	*	92,-388,390,-405,-404,-402
contig_571	177799	16	N	N	1	*	571
contig_76	174415	20	N	N	1	*	-74,76
contig_23	170359	20	N	N	1	*	-280,-279,281,-106,-87,-87,-87,-87,163,-406,405,407,23,427,428,429,430,-18,-14,-14,-14,-14
contig_40	165284	20	N	N	1	*	*,40,579
contig_261	163992	20	N	N	1	*	-362,261,468,-615,-331
contig_147	163290	25	N	N	1	*	413,624,414,415,416,-625,419,-418,416,-625,419,-418,416,147,-19,-15,-14,-14,-14,27
contig_295	163248	22	N	N	1	*	295,-511
contig_438	160214	20	N	N	1	*	438,-201,-196
contig_22	158994	20	N	N	1	*	-89,-86,-96,-85,-86,-85,127,-103,-84,-83,-83,-82,-82,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-101,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,22,-605,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,101,89,89,89,89,89,89,89,89,89,89,82,82,83,89,89,89,89,89,89,89,89,82,82,83,97,83,84,103,168,-127,85,86,89
contig_311	154698	20	N	N	1	*	362,311,*
contig_599	154362	20	N	N	1	*	608,354,355,599,282,283,540,540
contig_80	141570	19	N	N	2	*	*,80,-361,-360,*
contig_410	136839	20	N	N	1	*	404,405,407,408,410,*
contig_208	133535	21	N	N	1	*	*,208
contig_161	133473	25	N	N	1	*	161,-566,-566,-566,-566,-567,-643,644,-570,-569
contig_20	133113	21	N	N	1	*	*,20,505,506,-602,-31,-424
contig_32	132823	20	N	N	1	*	32,589,591,-593
contig_150	132460	20	N	N	1	*	-560,-542,541,-603,-86,-85,127,-168,-103,-84,-83,-84,-83,-83,-82,-82,-89,-89,-89,-89,-89,-97,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,150,-632,-479,-19,-15,-14,-14,-14,27
contig_563	132356	22	N	N	1	*	*,563,*
contig_192	130190	29	N	N	1	*	192,-348,-340,350,-617,-347,-340
contig_197	128701	20	N	N	1	*	175,176,184,197
contig_437	127889	20	N	N	2	*	-369,-401,-397,-396,-393,-141,109,-396,623,437
contig_621	124662	20	N	N	1	*	*,621,372,374,376,-373,372,375,-378
contig_144	120067	20	N	N	1	*	-280,-279,281,-106,-87,-87,-87,-87,-87,144
contig_307	118741	17	N	N	1	*	*,307
contig_21	115064	20	N	N	1	*	-27,14,14,14,15,21,-605,89,89,89,89,89,89,94,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,115,637
contig_108	110247	20	N	N	1	*	-412,108,-109,141,393,396,397,-366,364,-395
contig_640	108133	26	N	N	1	*	640
contig_308	107808	20	N	N	1	*	*,308,*
contig_301	106551	30	N	N	1	*	*,301,*
contig_441	102223	21	N	N	1	*	-75,73,439,441,461
contig_440	100188	20	N	N	1	*	*,440,*
contig_57	98937	20	N	N	1	*	413,624,414,415,416,-625,57
contig_130	94988	21	N	N	1	*	-89,-89,-89,-89,-89,-89,-89,-89,-89,-101,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,130
contig_205	94583	20	N	N	1	*	*,205,*
contig_335	94301	20	N	N	1	*	454,628,456,457,335,-71,*
contig_257	93576	20	N	N	1	*	251,256,-252,251,257,-457,-456,-628,-454
contig_157	92453	20	N	N	1	*	-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,157,*
contig_436	90680	20	N	N	2	*	*,436,*
contig_645	88547	23	N	N	1	*	645,-572
contig_639	88539	29	N	N	1	*	-595,-595,-595,639
contig_203	88273	20	N	N	1	*	175,176,184,196,203,*
contig_145	87163	20	N	N	1	*	-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-99,-89,-89,-89,-89,-89,145,-479,-19,-15,-14,-14,27
contig_59	86045	25	N	N	1	*	-133,-388,389,59
